codePostaux;codeCommune;nomCommune;libelleAcheminement;Id
32800;32338;Ramouzens;RAMOUZENS;8889
32600;32339;Razengues;RAZENGUES;8890
32800;32340;Réans;REANS;8891
32390;32341;Réjaumont;REJAUMONT;8892
32230;32342;Ricourt;RICOURT;8893
32320;32343;Riguepeu;RIGUEPEU;8894
32400;32344;Riscle;RISCLE;8895
32480;32345;La Romieu;LA ROMIEU;8896
32190;32346;Roquebrune;ROQUEBRUNE;8897
32390;32347;Roquefort;ROQUEFORT;8898
32810;32348;Roquelaure;ROQUELAURE;8899
32430;32349;Roquelaure-Saint-Aubin;ROQUELAURE-SAINT-AUBIN;8900
32100;32350;Roquepine;ROQUEPINE;8901
32310;32351;Roques;ROQUES;8902
32190;32352;Rozès;ROZES;8903
32420;32353;Sabaillan;SABAILLAN;8904
32290;32354;Sabazan;SABAZAN;8905
32170;32355;Sadeillan;SADEILLAN;8906
32200;32356;Saint-André;SAINT-ANDRE;8907
32430;32357;Sainte-Anne;SAINTE-ANNE;8908
32340;32358;Saint-Antoine;SAINT-ANTOINE;8909
32120;32359;Saint-Antonin;SAINT-ANTONIN;8910
32350;32360;Saint-Arailles;SAINT-ARAILLES;8911
32300;32361;Saint-Arroman;SAINT-ARROMAN;8912
32160;32362;Saint-Aunix-Lengros;SAINT-AUNIX LENGROS;8913
32300;32363;Sainte-Aurence-Cazaux;SAINTE-AURENCE CAZAUX;8914
32700;32364;Saint-Avit-Frandat;SAINT-AVIT FRANDAT;8915
32140;32365;Saint-Blancard;SAINT-BLANCARD;8916
32120;32366;Saint-Brès;SAINT-BRES;8917
32320;32367;Saint-Christaud;SAINT CHRISTAUD;8918
32390;32368;Sainte-Christie;SAINTE-CHRISTIE;8919
32370;32369;Sainte-Christie-d'Armagnac;SAINTE-CHRISTIE-D ARMAGNAC;8920
32380;32370;Saint-Clar;SAINT-CLAR;8921
32380;32371;Saint-Créac;SAINT-CREAC;8922
32430;32372;Saint-Cricq;SAINT-CRICQ;8923
32170;32373;Sainte-Dode;SAINTE-DODE;8924
32450;32374;Saint-Élix-d'Astarac;SAINT-ELIX-D'ASTARAC;8925
32300;32375;Saint-Élix-Theux;SAINT-ELIX-THEUX;8926
32120;32376;Sainte-Gemme;SAINTE-GEMME;8927
32430;32377;Saint-Georges;SAINT-GEORGES;8928
32400;32378;Saint-Germé;SAINT-GERME;8929
32200;32379;Saint-Germier;SAINT-GERMIER;8930
32110;32380;Saint-Griède;SAINT-GRIEDE;8931
32550;32381;Saint-Jean-le-Comtal;SAINT-JEAN-LE-COMTAL;8932
32190;32382;Saint-Jean-Poutge;SAINT-JEAN-POUTGE;8933
32230;32383;Saint-Justin;SAINT JUSTIN;8934
32360;32384;Saint-Lary;SAINT-LARY;8935
32380;32385;Saint-Léonard;SAINT-LEONARD;8936
32220;32386;Saint-Lizier-du-Planté;SAINT-LIZIER-DU-PLANTE;8937
32220;32387;Saint-Loube;SAINT-LOUBE;8938
32200;32388;Sainte-Marie;SAINTE-MARIE;8939
32300;32389;Saint-Martin;SAINT-MARTIN;8940
32110;32390;Saint-Martin-d'Armagnac;SAINT-MARTIN-D ARMAGNAC;8941
32480;32391;Saint-Martin-de-Goyne;SAINT-MARTIN-DE-GOYNE;8942
32450;32392;Saint-Martin-Gimois;SAINT-MARTIN-GIMOIS;8943
32300;32393;Saint-Maur;SAINT-MAUR;8944
32300;32394;Saint-Médard;SAINT-MEDARD;8945
32700;32395;Sainte-Mère;SAINTE-MERE;8946
32700;32396;Saint-Mézard;SAINT-MEZARD;8947
32300;32397;Saint-Michel;SAINT-MICHEL;8948
32400;32398;Saint-Mont;SAINT-MONT;8949
32120;32399;Saint-Orens;SAINT-ORENS;8950
32100;32400;Saint-Orens-Pouy-Petit;SAINT-ORENS-POUY-PETIT;8951
